id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,gene,cancer,gene,cell
"RP11-617D20.1_T cell, CD4, TH17",Wald_ratio,1,-0.000361321,7.16E-05,NA,NA,4.51E-07,NA,NA,NA,NA,NA,NA,NA,-0.000501664,-0.000220977,0.999638744,0.999498461,0.999779047,0.000504382,RP11-617D20.1,Brain cancer,RP11-617D20.1,"T cell, CD4, TH17"
"NSUN2_B cell, naive",Wald_ratio,1,1.86E-05,7.63E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000130992,0.000168106,1.000018557,0.999869016,1.00016812,0.999974182,NSUN2,Brain cancer,NSUN2,"B cell, naive"
"NSUN2_T cell, CD8, naive",Wald_ratio,1,1.79E-05,7.34E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000126086,0.00016181,1.000017862,0.999873922,1.000161823,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD8, naive"
"NSUN2_T cell, CD4, naive TREG",Wald_ratio,1,1.82E-05,7.49E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000128635,0.000165081,1.000018223,0.999871373,1.000165095,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD4, naive TREG"
"NSUN2_NK cell, CD56dim CD16+",Wald_ratio,1,2.14E-05,8.78E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000150764,0.00019348,1.000021358,0.999849247,1.000193498,0.999974182,NSUN2,Brain cancer,NSUN2,"NK cell, CD56dim CD16+"
"NSUN2_T cell, CD4, TH2",Wald_ratio,1,1.94E-05,7.99E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000137107,0.000175952,1.000019423,0.999862903,1.000175968,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD4, TH2"
"NSUN2_T cell, CD4, naive",Wald_ratio,1,1.80E-05,7.42E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000127389,0.000163482,1.000018046,0.999872619,1.000163495,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD4, naive"
"NSUN2_T cell, CD4, TFH",Wald_ratio,1,1.86E-05,7.64E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000131117,0.000168266,1.000018575,0.999868892,1.00016828,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD4, TFH"
"NSUN2_T cell, CD4, memory TREG",Wald_ratio,1,1.83E-05,7.50E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000128829,0.00016533,1.00001825,0.999871179,1.000165344,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD4, memory TREG"
"NSUN2_T cell, CD4, TH1 TH17",Wald_ratio,1,2.01E-05,8.25E-05,NA,NA,0.807846421,NA,NA,NA,NA,NA,NA,NA,-0.000141613,0.000181736,1.000020061,0.999858397,1.000181753,0.999974182,NSUN2,Brain cancer,NSUN2,"T cell, CD4, TH1 TH17"
"L3MBTL3_T cell, CD8, naive activated",Wald_ratio,1,6.52E-05,0.000103915,NA,NA,0.530562736,NA,NA,NA,NA,NA,NA,NA,-0.000138503,0.000268843,1.000065172,0.999861506,1.00026888,0.966208669,L3MBTL3,Brain cancer,L3MBTL3,"T cell, CD8, naive activated"
"UHRF1BP1_T cell, CD4, naive",Wald_ratio,1,-4.27E-05,9.00E-05,NA,NA,0.635512025,NA,NA,NA,NA,NA,NA,NA,-0.000219085,0.000133758,0.999957337,0.999780939,1.000133767,0.972863,UHRF1BP1,Brain cancer,UHRF1BP1,"T cell, CD4, naive"
"UHRF1BP1_T cell, CD8, naive",Wald_ratio,1,-5.84E-05,0.00012322,NA,NA,0.635512025,NA,NA,NA,NA,NA,NA,NA,-0.000299915,0.000183107,0.999941598,0.99970013,1.000183124,0.972863,UHRF1BP1,Brain cancer,UHRF1BP1,"T cell, CD8, naive"
"UHRF1BP1_T cell, CD4, TH2",Wald_ratio,1,-4.16E-05,8.77E-05,NA,NA,0.635512025,NA,NA,NA,NA,NA,NA,NA,-0.000213489,0.000130341,0.999958427,0.999786534,1.00013035,0.972863,UHRF1BP1,Brain cancer,UHRF1BP1,"T cell, CD4, TH2"
"TUBA1C_Monocyte, non-classical",Wald_ratio,1,0.000112918,0.000132643,NA,NA,0.39460633,NA,NA,NA,NA,NA,NA,NA,-0.000147062,0.000372899,1.000112925,0.999852948,1.000372968,0.966208669,TUBA1C,Brain cancer,TUBA1C,"Monocyte, non-classical"
"TMEM180_T cell, CD8, naive",Wald_ratio,1,-1.66E-06,0.000101303,NA,NA,0.986925313,NA,NA,NA,NA,NA,NA,NA,-0.000200214,0.000196894,0.99999834,0.999799806,1.000196913,0.999974182,TMEM180,Brain cancer,TMEM180,"T cell, CD8, naive"
"TMEM180_T cell, CD4, TFH",Wald_ratio,1,3.12E-07,0.000100078,NA,NA,0.997511697,NA,NA,NA,NA,NA,NA,NA,-0.000195842,0.000196466,1.000000312,0.999804178,1.000196485,0.999974182,TMEM180,Brain cancer,TMEM180,"T cell, CD4, TFH"
"TMEM180_T cell, CD4, memory TREG",Wald_ratio,1,3.34E-07,0.000107079,NA,NA,0.997511697,NA,NA,NA,NA,NA,NA,NA,-0.000209541,0.000210209,1.000000334,0.999790481,1.000210231,0.999974182,TMEM180,Brain cancer,TMEM180,"T cell, CD4, memory TREG"
"TMEM180_NK cell, CD56dim CD16+",Wald_ratio,1,3.73E-07,0.000119633,NA,NA,0.997511697,NA,NA,NA,NA,NA,NA,NA,-0.000234107,0.000234853,1.000000373,0.999765921,1.000234881,0.999974182,TMEM180,Brain cancer,TMEM180,"NK cell, CD56dim CD16+"
"TMEM180_T cell, CD4, naive",Wald_ratio,1,3.28E-07,0.000105019,NA,NA,0.997511697,NA,NA,NA,NA,NA,NA,NA,-0.00020551,0.000206165,1.000000328,0.999794511,1.000206186,0.999974182,TMEM180,Brain cancer,TMEM180,"T cell, CD4, naive"
"DNMT3B_T cell, CD8, naive",Wald_ratio,1,1.31E-05,0.00010307,NA,NA,0.898687127,NA,NA,NA,NA,NA,NA,NA,-0.000188894,0.00021514,1.000013123,0.999811123,1.000215163,0.999974182,DNMT3B,Brain cancer,DNMT3B,"T cell, CD8, naive"
"DNMT3B_T cell, CD4, naive",Wald_ratio,1,1.20E-05,9.45E-05,NA,NA,0.898687127,NA,NA,NA,NA,NA,NA,NA,-0.000173163,0.000197223,1.00001203,0.999826852,1.000197242,0.999974182,DNMT3B,Brain cancer,DNMT3B,"T cell, CD4, naive"
"SLC41A1_B cell, naive",Wald_ratio,1,-0.000330347,0.000160025,NA,NA,0.038985242,NA,NA,NA,NA,NA,NA,NA,-0.000643996,-1.67E-05,0.999669708,0.999356211,0.999983303,0.680976136,SLC41A1,Brain cancer,SLC41A1,"B cell, naive"
"SLC41A1_T cell, CD4, memory TREG",Wald_ratio,1,-0.000317564,0.000153833,NA,NA,0.038985242,NA,NA,NA,NA,NA,NA,NA,-0.000619077,-1.61E-05,0.999682486,0.999381115,0.999983949,0.680976136,SLC41A1,Brain cancer,SLC41A1,"T cell, CD4, memory TREG"
"PM20D1_T cell, CD4, memory TREG",Wald_ratio,1,-3.32E-05,8.66E-05,NA,NA,0.701206839,NA,NA,NA,NA,NA,NA,NA,-0.000203068,0.000136578,0.999966756,0.999796953,1.000136588,0.982379144,PM20D1,Brain cancer,PM20D1,"T cell, CD4, memory TREG"
"PM20D1_T cell, CD8, naive activated",Wald_ratio,1,-4.89E-05,0.000120299,NA,NA,0.684241277,NA,NA,NA,NA,NA,NA,NA,-0.000284711,0.000186863,0.999951078,0.99971533,1.000186881,0.980129397,PM20D1,Brain cancer,PM20D1,"T cell, CD8, naive activated"
"PM20D1_T cell, CD4, TH17",Wald_ratio,1,4.90E-05,9.19E-05,NA,NA,0.594024891,NA,NA,NA,NA,NA,NA,NA,-0.000131184,0.000229185,1.000049001,0.999868824,1.000229211,0.966208669,PM20D1,Brain cancer,PM20D1,"T cell, CD4, TH17"
"PM20D1_T cell, CD4, naive activated",Wald_ratio,1,6.06E-05,0.0001137,NA,NA,0.594024891,NA,NA,NA,NA,NA,NA,NA,-0.000162248,0.000283455,1.000060605,0.999837765,1.000283495,0.966208669,PM20D1,Brain cancer,PM20D1,"T cell, CD4, naive activated"
"PM20D1_B cell, naive",Wald_ratio,1,4.79E-05,8.99E-05,NA,NA,0.594024891,NA,NA,NA,NA,NA,NA,NA,-0.000128333,0.000224203,1.000047936,0.999871676,1.000224228,0.966208669,PM20D1,Brain cancer,PM20D1,"B cell, naive"
"SLC41A1_NK cell, CD56dim CD16+",Wald_ratio,1,-3.64E-06,0.000109386,NA,NA,0.973481236,NA,NA,NA,NA,NA,NA,NA,-0.000218032,0.00021076,0.999996364,0.999781992,1.000210782,0.999974182,SLC41A1,Brain cancer,SLC41A1,"NK cell, CD56dim CD16+"
"SLC41A1_T cell, CD4, TH17",Wald_ratio,1,-3.72E-06,0.000111964,NA,NA,0.973481236,NA,NA,NA,NA,NA,NA,NA,-0.000223172,0.000215728,0.999996278,0.999776853,1.000215751,0.999974182,SLC41A1,Brain cancer,SLC41A1,"T cell, CD4, TH17"
"SLC41A1_Monocyte, non-classical",Wald_ratio,1,-7.35E-05,0.000117017,NA,NA,0.52998926,NA,NA,NA,NA,NA,NA,NA,-0.000302843,0.000155864,0.999926513,0.999697203,1.000155876,0.966208669,SLC41A1,Brain cancer,SLC41A1,"Monocyte, non-classical"
"SLC41A1_T cell, CD8, naive",Wald_ratio,1,-6.54E-05,0.00010406,NA,NA,0.52998926,NA,NA,NA,NA,NA,NA,NA,-0.00026931,0.000138606,0.99993465,0.999730727,1.000138615,0.966208669,SLC41A1,Brain cancer,SLC41A1,"T cell, CD8, naive"
"ZSCAN23_B cell, naive",Wald_ratio,1,1.76E-05,9.35E-05,NA,NA,0.850372155,NA,NA,NA,NA,NA,NA,NA,-0.000165695,0.000200986,1.000017646,0.999834319,1.000201007,0.999974182,ZSCAN23,Brain cancer,ZSCAN23,"B cell, naive"
"RP11-6L6.2_T cell, CD4, naive",Wald_ratio,1,0.000124383,8.32E-05,NA,NA,0.134990203,NA,NA,NA,NA,NA,NA,NA,-3.87E-05,0.000287486,1.000124391,0.999961281,1.000287528,0.923902776,RP11-6L6.2,Brain cancer,RP11-6L6.2,"T cell, CD4, naive"
"RP11-53O19.3_T cell, CD4, naive",Wald_ratio,1,1.36E-05,0.000134201,NA,NA,0.919258841,NA,NA,NA,NA,NA,NA,NA,-0.00024943,0.000276637,1.000013604,0.999750601,1.000276675,0.999974182,RP11-53O19.3,Brain cancer,RP11-53O19.3,"T cell, CD4, naive"
"PM20D1_T cell, CD4, naive",Wald_ratio,1,3.56E-05,9.06E-05,NA,NA,0.694615118,NA,NA,NA,NA,NA,NA,NA,-0.000141949,0.000213059,1.000035556,0.999858061,1.000213082,0.982379144,PM20D1,Brain cancer,PM20D1,"T cell, CD4, naive"
"PM20D1_T cell, CD4, naive TREG",Wald_ratio,1,3.40E-05,8.66E-05,NA,NA,0.694615118,NA,NA,NA,NA,NA,NA,NA,-0.000135747,0.00020375,1.000034002,0.999864262,1.000203771,0.982379144,PM20D1,Brain cancer,PM20D1,"T cell, CD4, naive TREG"
"PM20D1_T cell, CD4, TH1 TH17",Wald_ratio,1,3.41E-05,8.68E-05,NA,NA,0.694615118,NA,NA,NA,NA,NA,NA,NA,-0.000136077,0.000204246,1.000034085,0.999863932,1.000204267,0.982379144,PM20D1,Brain cancer,PM20D1,"T cell, CD4, TH1 TH17"
"PM20D1_T cell, CD4, TH1",Wald_ratio,1,3.69E-05,9.40E-05,NA,NA,0.694615118,NA,NA,NA,NA,NA,NA,NA,-0.000147353,0.000221171,1.000036909,0.999852658,1.000221195,0.982379144,PM20D1,Brain cancer,PM20D1,"T cell, CD4, TH1"
"PM20D1_T cell, CD4, TH2",Wald_ratio,1,3.45E-05,8.80E-05,NA,NA,0.694615118,NA,NA,NA,NA,NA,NA,NA,-0.000137871,0.000206938,1.000034534,0.999862139,1.00020696,0.982379144,PM20D1,Brain cancer,PM20D1,"T cell, CD4, TH2"
"SLC41A1_Monocyte, classical",Wald_ratio,1,-4.08E-05,0.000103809,NA,NA,0.694615118,NA,NA,NA,NA,NA,NA,NA,-0.000244221,0.00016271,0.999959245,0.999755809,1.000162723,0.982379144,SLC41A1,Brain cancer,SLC41A1,"Monocyte, classical"
"ZFP30_T cell, CD4, TH1 TH17",Wald_ratio,1,0.0001401,0.00013725,NA,NA,0.307363102,NA,NA,NA,NA,NA,NA,NA,-0.000128909,0.00040911,1.00014011,0.999871099,1.000409193,0.9549376,ZFP30,Brain cancer,ZFP30,"T cell, CD4, TH1 TH17"
"AMT_Monocyte, classical",Wald_ratio,1,2.94E-05,0.000100595,NA,NA,0.769999714,NA,NA,NA,NA,NA,NA,NA,-0.000167754,0.000226577,1.000029412,0.99983226,1.000226602,0.997346595,AMT,Brain cancer,AMT,"Monocyte, classical"
"AMT_T cell, CD4, memory TREG",Wald_ratio,1,2.22E-05,0.000116565,NA,NA,0.8488982,NA,NA,NA,NA,NA,NA,NA,-0.000206259,0.000250676,1.000022209,0.999793763,1.000250707,0.999974182,AMT,Brain cancer,AMT,"T cell, CD4, memory TREG"
"AMT_T cell, CD4, TH2",Wald_ratio,1,2.19E-05,0.000114913,NA,NA,0.8488982,NA,NA,NA,NA,NA,NA,NA,-0.000203336,0.000247124,1.000021894,0.999796685,1.000247154,0.999974182,AMT,Brain cancer,AMT,"T cell, CD4, TH2"
"AMT_Monocyte, non-classical",Wald_ratio,1,1.32E-05,0.000113771,NA,NA,0.907504386,NA,NA,NA,NA,NA,NA,NA,-0.000209773,0.000236211,1.000013219,0.999790249,1.000236239,0.999974182,AMT,Brain cancer,AMT,"Monocyte, non-classical"
"SLC22A5_T cell, CD4, naive",Wald_ratio,1,-0.004028734,0.000808521,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.005613435,-0.002444034,0.99597937,0.994402291,0.997558951,0.001032436,SLC22A5,Breast cancer,SLC22A5,"T cell, CD4, naive"
"SLC22A5_T cell, CD4, memory TREG",Wald_ratio,1,-0.003924394,0.000787581,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.005468053,-0.002380736,0.996083296,0.99454687,0.997622096,0.001032436,SLC22A5,Breast cancer,SLC22A5,"T cell, CD4, memory TREG"
"SLC22A5_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.004080157,0.000818841,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.005685085,-0.002475229,0.995928155,0.994331045,0.997527832,0.001032436,SLC22A5,Breast cancer,SLC22A5,"T cell, CD4, TH1 TH17"
"SLC22A5_T cell, CD8, naive",Wald_ratio,1,-0.004321235,0.000867222,NA,NA,6.27E-07,NA,NA,NA,NA,NA,NA,NA,-0.006020991,-0.002621479,0.995688088,0.993997099,0.997381954,0.001032436,SLC22A5,Breast cancer,SLC22A5,"T cell, CD8, naive"
"GTF2A2_Monocyte, non-classical",Wald_ratio,1,0.001018464,0.000967132,NA,NA,0.292306072,NA,NA,NA,NA,NA,NA,NA,-0.000877115,0.002914044,1.001018983,0.999123269,1.002918294,0.827997714,GTF2A2,Breast cancer,GTF2A2,"Monocyte, non-classical"
"DNMT3B_T cell, CD4, naive TREG",Wald_ratio,1,-0.000980349,0.000814935,NA,NA,0.22898494,NA,NA,NA,NA,NA,NA,NA,-0.002577623,0.000616924,0.999020131,0.997425697,1.000617115,0.804942433,DNMT3B,Breast cancer,DNMT3B,"T cell, CD4, naive TREG"
"CTD-2540F13.2_NK cell, CD56dim CD16+",Wald_ratio,1,-0.001179359,0.001470555,NA,NA,0.422563199,NA,NA,NA,NA,NA,NA,NA,-0.004061646,0.001702928,0.998821336,0.995946591,1.001704379,0.887222271,CTD-2540F13.2,Breast cancer,CTD-2540F13.2,"NK cell, CD56dim CD16+"
"NSUN2_Monocyte, non-classical",Wald_ratio,1,-0.000807213,0.000667962,NA,NA,0.22686625,NA,NA,NA,NA,NA,NA,NA,-0.002116419,0.000501993,0.999193113,0.997885819,1.000502119,0.802270812,NSUN2,Breast cancer,NSUN2,"Monocyte, non-classical"
"LAMC1_B cell, naive",Wald_ratio,1,0.000732532,0.000867727,NA,NA,0.398560035,NA,NA,NA,NA,NA,NA,NA,-0.000968214,0.002433277,1.0007328,0.999032255,1.00243624,0.882208431,LAMC1,Breast cancer,LAMC1,"B cell, naive"
"CASP8_T cell, CD4, memory TREG",Wald_ratio,1,-0.00241032,0.000684353,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003751651,-0.001068988,0.997592583,0.996255378,0.998931583,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, memory TREG"
"CASP8_T cell, CD4, naive TREG",Wald_ratio,1,-0.002567635,0.000729019,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003996512,-0.001138758,0.997435658,0.996011463,0.99886189,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, naive TREG"
"CASP8_Monocyte, classical",Wald_ratio,1,-0.002394029,0.000679728,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003726295,-0.001061763,0.997608834,0.996280639,0.9989388,0.035376,CASP8,Breast cancer,CASP8,"Monocyte, classical"
"CASP8_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.002525773,0.000717133,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003931354,-0.001120192,0.997477414,0.996076364,0.998880435,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, TH1 TH17"
"CASP8_T cell, CD4, TH17",Wald_ratio,1,-0.00249352,0.000707976,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003881152,-0.001105888,0.997509586,0.99612637,0.998894723,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, TH17"
"CASP8_T cell, CD4, naive",Wald_ratio,1,-0.002502111,0.000710415,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003894525,-0.001109698,0.997501016,0.996113049,0.998890917,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, naive"
"CASP8_B cell, naive",Wald_ratio,1,-0.003467898,0.000984627,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.005397766,-0.001538029,0.996538109,0.994616775,0.998463153,0.035376,CASP8,Breast cancer,CASP8,"B cell, naive"
"CASP8_T cell, CD4, TFH",Wald_ratio,1,-0.00242161,0.000687559,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.003769225,-0.001073996,0.997581319,0.996237869,0.998926581,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, TFH"
"CASP8_T cell, CD4, TH2",Wald_ratio,1,-0.002594098,0.000736532,NA,NA,0.000428236,NA,NA,NA,NA,NA,NA,NA,-0.004037702,-0.001150495,0.997409263,0.995970438,0.998850167,0.035376,CASP8,Breast cancer,CASP8,"T cell, CD4, TH2"
"CASP8_Monocyte, non-classical",Wald_ratio,1,-0.002486023,0.000691601,NA,NA,0.000324902,NA,NA,NA,NA,NA,NA,NA,-0.003841561,-0.001130485,0.997517065,0.996165808,0.998870154,0.029395864,CASP8,Breast cancer,CASP8,"Monocyte, non-classical"
"CASP8_NK cell, CD56dim CD16+",Wald_ratio,1,-0.002639947,0.000734422,NA,NA,0.000324902,NA,NA,NA,NA,NA,NA,NA,-0.004079414,-0.001200479,0.997363535,0.995928896,0.998800241,0.029395864,CASP8,Breast cancer,CASP8,"NK cell, CD56dim CD16+"
"RP1-228P16.1_T cell, CD4, TH1",Wald_ratio,1,0.000437176,0.000893604,NA,NA,0.62468053,NA,NA,NA,NA,NA,NA,NA,-0.001314288,0.00218864,1.000437271,0.998686575,1.002191037,0.941732341,RP1-228P16.1,Breast cancer,RP1-228P16.1,"T cell, CD4, TH1"
"C10orf32_T cell, CD4, TFH",Wald_ratio,1,0.000463781,0.000974126,NA,NA,0.634003339,NA,NA,NA,NA,NA,NA,NA,-0.001445506,0.002373068,1.000463889,0.998555538,1.002375886,0.94442907,C10orf32,Breast cancer,C10orf32,"T cell, CD4, TFH"
"C10orf32_T cell, CD4, TH2",Wald_ratio,1,-0.000105251,0.0008829,NA,NA,0.905108883,NA,NA,NA,NA,NA,NA,NA,-0.001835735,0.001625234,0.999894755,0.998165949,1.001626555,0.992279404,C10orf32,Breast cancer,C10orf32,"T cell, CD4, TH2"
"RAB7L1_T cell, CD4, memory TREG",Wald_ratio,1,0.000526958,0.001159716,NA,NA,0.6495513,NA,NA,NA,NA,NA,NA,NA,-0.001746085,0.002800001,1.000527097,0.998255439,1.002803924,0.951188909,RAB7L1,Breast cancer,RAB7L1,"T cell, CD4, memory TREG"
"POLI_T cell, CD8, naive",Wald_ratio,1,-0.001190036,0.000754218,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002668304,0.000288231,0.998810672,0.997335253,1.000288273,0.6561434,POLI,Breast cancer,POLI,"T cell, CD8, naive"
"POLI_T cell, CD4, TH2",Wald_ratio,1,-0.001176626,0.000745719,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002638234,0.000284983,0.998824066,0.997365243,1.000285024,0.6561434,POLI,Breast cancer,POLI,"T cell, CD4, TH2"
"POLI_Monocyte, classical",Wald_ratio,1,-0.001230784,0.000780043,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002759668,0.0002981,0.998769973,0.997244136,1.000298145,0.6561434,POLI,Breast cancer,POLI,"Monocyte, classical"
"POLI_T cell, CD4, TFH",Wald_ratio,1,-0.001378331,0.000873555,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.003090498,0.000333837,0.998622619,0.996914273,1.000333892,0.6561434,POLI,Breast cancer,POLI,"T cell, CD4, TFH"
"POLI_T cell, CD4, naive TREG",Wald_ratio,1,-0.001077813,0.000683093,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002416676,0.00026105,0.998922768,0.997586242,1.000261084,0.6561434,POLI,Breast cancer,POLI,"T cell, CD4, naive TREG"
"POLI_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.001175367,0.000744921,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002635411,0.000284678,0.998825324,0.997368059,1.000284719,0.6561434,POLI,Breast cancer,POLI,"T cell, CD4, TH1 TH17"
"POLI_T cell, CD8, naive activated",Wald_ratio,1,-0.00146534,0.000928699,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.00328559,0.000354911,0.998535733,0.996719801,1.000354974,0.6561434,POLI,Breast cancer,POLI,"T cell, CD8, naive activated"
"POLI_T cell, CD4, TH17",Wald_ratio,1,-0.001187137,0.000752381,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002661804,0.000287529,0.998813567,0.997341736,1.00028757,0.6561434,POLI,Breast cancer,POLI,"T cell, CD4, TH17"
"POLI_T cell, CD4, TH1",Wald_ratio,1,-0.001188915,0.000753507,NA,NA,0.114602097,NA,NA,NA,NA,NA,NA,NA,-0.002665789,0.000287959,0.998811792,0.997337761,1.000288001,0.6561434,POLI,Breast cancer,POLI,"T cell, CD4, TH1"
"MAP2K1_T cell, CD4, naive TREG",Wald_ratio,1,-0.000814833,0.000784301,NA,NA,0.29883806,NA,NA,NA,NA,NA,NA,NA,-0.002352063,0.000722398,0.999185499,0.997650701,1.000722659,0.832464583,MAP2K1,Breast cancer,MAP2K1,"T cell, CD4, naive TREG"
"PFKM_NK cell, CD56dim CD16+",Wald_ratio,1,-0.000380527,0.000880056,NA,NA,0.665458534,NA,NA,NA,NA,NA,NA,NA,-0.002105437,0.001344384,0.999619545,0.997896777,1.001345288,0.956116587,PFKM,Breast cancer,PFKM,"NK cell, CD56dim CD16+"
"C10orf32_Monocyte, non-classical",Wald_ratio,1,0.000377224,0.000864755,NA,NA,0.662676571,NA,NA,NA,NA,NA,NA,NA,-0.001317696,0.002072144,1.000377295,0.998683172,1.002074292,0.955481302,C10orf32,Breast cancer,C10orf32,"Monocyte, non-classical"
"SNX32_B cell, naive",Wald_ratio,1,0.000774973,0.000725631,NA,NA,0.285521486,NA,NA,NA,NA,NA,NA,NA,-0.000647265,0.00219721,1.000775273,0.999352945,1.002199625,0.824540465,SNX32,Breast cancer,SNX32,"B cell, naive"
"NSUN4_B cell, naive",Wald_ratio,1,0.00135869,0.000702147,NA,NA,0.052984223,NA,NA,NA,NA,NA,NA,NA,-1.75E-05,0.002734899,1.001359613,0.999982481,1.002738642,0.577774622,NSUN4,Breast cancer,NSUN4,"B cell, naive"
"CTSK_T cell, CD4, naive activated",Wald_ratio,1,-0.001249638,0.001006686,NA,NA,0.214480775,NA,NA,NA,NA,NA,NA,NA,-0.003222742,0.000723467,0.998751143,0.996782445,1.000723728,0.793792982,CTSK,Breast cancer,CTSK,"T cell, CD4, naive activated"
"CERS2_T cell, CD4, memory TREG",Wald_ratio,1,-0.001283098,0.000954102,NA,NA,0.178682229,NA,NA,NA,NA,NA,NA,NA,-0.003153138,0.000586941,0.998717724,0.996851828,1.000587113,0.750103174,CERS2,Breast cancer,CERS2,"T cell, CD4, memory TREG"
"CERS2_T cell, CD4, TH17",Wald_ratio,1,-0.001628463,0.001090057,NA,NA,0.135195157,NA,NA,NA,NA,NA,NA,NA,-0.003764974,0.000508048,0.998372862,0.996242105,1.000508177,0.676531916,CERS2,Breast cancer,CERS2,"T cell, CD4, TH17"
"ECHDC2_T cell, CD4, memory TREG",Wald_ratio,1,-0.000689941,0.000752655,NA,NA,0.359311901,NA,NA,NA,NA,NA,NA,NA,-0.002165145,0.000785262,0.999310297,0.997837197,1.00078557,0.858327973,ECHDC2,Breast cancer,ECHDC2,"T cell, CD4, memory TREG"
"ECHDC2_T cell, CD4, TH1",Wald_ratio,1,-0.000753585,0.000822084,NA,NA,0.359311901,NA,NA,NA,NA,NA,NA,NA,-0.00236487,0.000857699,0.999246698,0.997637924,1.000858067,0.858327973,ECHDC2,Breast cancer,ECHDC2,"T cell, CD4, TH1"
"ECHDC2_T cell, CD4, TH17",Wald_ratio,1,-0.000806429,0.000879731,NA,NA,0.359311901,NA,NA,NA,NA,NA,NA,NA,-0.002530703,0.000917844,0.999193896,0.997472497,1.000918265,0.858327973,ECHDC2,Breast cancer,ECHDC2,"T cell, CD4, TH17"
"ECHDC2_NK cell, CD56dim CD16+",Wald_ratio,1,-0.00082576,0.000900819,NA,NA,0.359311901,NA,NA,NA,NA,NA,NA,NA,-0.002591366,0.000939845,0.99917458,0.997411989,1.000940287,0.858327973,ECHDC2,Breast cancer,ECHDC2,"NK cell, CD56dim CD16+"
"SNX32_T cell, CD4, TFH",Wald_ratio,1,0.00053421,0.000745967,NA,NA,0.473910344,NA,NA,NA,NA,NA,NA,NA,-0.000927885,0.001996306,1.000534353,0.999072545,1.0019983,0.896128493,SNX32,Breast cancer,SNX32,"T cell, CD4, TFH"
"SNX32_T cell, CD4, naive activated",Wald_ratio,1,0.00044654,0.000623545,NA,NA,0.473910344,NA,NA,NA,NA,NA,NA,NA,-0.000775608,0.001668688,1.00044664,0.999224693,1.001670081,0.896128493,SNX32,Breast cancer,SNX32,"T cell, CD4, naive activated"
"SNX32_T cell, CD8, naive",Wald_ratio,1,0.000568021,0.00079318,NA,NA,0.473910344,NA,NA,NA,NA,NA,NA,NA,-0.000986611,0.002122653,1.000568182,0.999013875,1.002124907,0.896128493,SNX32,Breast cancer,SNX32,"T cell, CD8, naive"
