id,gene,cell,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4,ldcheck
"LINC00886_T cell, CD4, TH1",LINC00886,"T cell, CD4, TH1",Wald_ratio,1,-0.001214801,0.000298465,NA,NA,4.70E-05,NA,NA,NA,NA,NA,NA,NA,-0.001799793,-0.000629809,0.998785937,0.998201826,0.999370389,0.047747895,Melanoma skin cancer,ieu-b-4969,"LINC00886_T cell, CD4, TH1_Melanoma skin cancer_ieu-b-4969",0.351171722,1
"MX2_T cell, CD4, memory TREG",MX2,"T cell, CD4, memory TREG",Wald_ratio,1,-0.001542374,0.000293863,NA,NA,1.53E-07,NA,NA,NA,NA,NA,NA,NA,-0.002118346,-0.000966402,0.998458815,0.997883896,0.999034064,0.000387845,Melanoma skin cancer,ieu-b-4969,"MX2_T cell, CD4, memory TREG_Melanoma skin cancer_ieu-b-4969",0.988019442,1
MX2_B_CELL_NAIVE,MX2,B,Wald_ratio,1,-0.001512212,0.000288117,NA,NA,1.53E-07,NA,NA,NA,NA,NA,NA,NA,-0.002076921,-0.000947504,0.998488931,0.997925235,0.999052945,0.000387845,Melanoma skin cancer,ieu-b-4969,MX2_B_CELL_NAIVE_Melanoma skin cancer_ieu-b-4969,0.98765844,1
"MX2_NK cell, CD56dim CD16+",MX2,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.001334533,0.000254264,NA,NA,1.53E-07,NA,NA,NA,NA,NA,NA,NA,-0.001832891,-0.000836176,0.998666357,0.998168788,0.999164173,0.000387845,Melanoma skin cancer,ieu-b-4969,"MX2_NK cell, CD56dim CD16+_Melanoma skin cancer_ieu-b-4969",0.987442597,1
"C6orf163_T cell, CD4, naive",C6orf163,"T cell, CD4, naive",Wald_ratio,1,-0.001268197,0.000311654,NA,NA,4.72E-05,NA,NA,NA,NA,NA,NA,NA,-0.00187904,-0.000657355,0.998732606,0.998122724,0.999342861,0.047747895,Melanoma skin cancer,ieu-b-4969,"C6orf163_T cell, CD4, naive_Melanoma skin cancer_ieu-b-4969",0.25837604,0.991653489
LINC00886_B_CELL_NAIVE,LINC00886,B,Wald_ratio,1,-0.001217221,0.000297008,NA,NA,4.16E-05,NA,NA,NA,NA,NA,NA,NA,-0.001799357,-0.000635085,0.998783519,0.998202261,0.999365116,0.047747895,Melanoma skin cancer,ieu-b-4969,LINC00886_B_CELL_NAIVE_Melanoma skin cancer_ieu-b-4969,0.319345012,1
"PCGF3_T cell, CD4, naive",PCGF3,"T cell, CD4, naive",Wald_ratio,1,0.00176071,0.000512978,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000755273,0.002766147,1.001762261,1.000755558,1.002769977,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",0.0901264,1
"PCGF3_Monocyte, non-classical",PCGF3,"Monocyte, non-classical",Wald_ratio,1,0.001762312,0.000513445,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.00075596,0.002768663,1.001763865,1.000756246,1.002772499,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_Monocyte, non-classical_non-melanoma skin cancer_ieu-b-4959",0.095477874,1
"PCGF3_T cell, CD4, TH17",PCGF3,"T cell, CD4, TH17",Wald_ratio,1,0.001680518,0.000489614,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000720874,0.002640162,1.001681931,1.000721134,1.00264365,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",0.095448286,1
"PCGF3_T cell, CD4, naive TREG",PCGF3,"T cell, CD4, naive TREG",Wald_ratio,1,0.001766994,0.000514809,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000757968,0.002776019,1.001768556,1.000758256,1.002779876,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, naive TREG_non-melanoma skin cancer_ieu-b-4959",0.095303936,1
"PCGF3_T cell, CD4, memory TREG",PCGF3,"T cell, CD4, memory TREG",Wald_ratio,1,0.001761846,0.000513309,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.00075576,0.002767932,1.001763399,1.000756046,1.002771766,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.09544683,1
"PCGF3_NK cell, CD56dim CD16+",PCGF3,"NK cell, CD56dim CD16+",Wald_ratio,1,0.001766449,0.00051465,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000757735,0.002775162,1.00176801,1.000758022,1.002779017,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",0.095448923,1
"PCGF3_T cell, CD4, TH1",PCGF3,"T cell, CD4, TH1",Wald_ratio,1,0.001744544,0.000508268,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000748339,0.00274075,1.001746067,1.000748619,1.002744509,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, TH1_non-melanoma skin cancer_ieu-b-4959",0.085908146,1
PCGF3_B_CELL_NAIVE,PCGF3,B,Wald_ratio,1,0.001658003,0.000483055,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000711216,0.00260479,1.001659378,1.000711469,1.002608185,0.023020175,non-melanoma skin cancer,ieu-b-4959,PCGF3_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,0.095432904,1
"PCGF3_T cell, CD4, TH1 TH17",PCGF3,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.001769618,0.000515573,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000759094,0.002780142,1.001771185,1.000759382,1.00278401,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, TH1 TH17_non-melanoma skin cancer_ieu-b-4959",0.095435725,1
"PCGF3_T cell, CD4, TFH",PCGF3,"T cell, CD4, TFH",Wald_ratio,1,0.001771938,0.000516249,NA,NA,0.000598418,NA,NA,NA,NA,NA,NA,NA,0.000760089,0.002783787,1.001773509,1.000760378,1.002787665,0.023020175,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.095411973,1
"ING5_T cell, CD4, TFH",ING5,"T cell, CD4, TFH",Wald_ratio,1,-0.00273176,0.000754205,NA,NA,0.000292289,NA,NA,NA,NA,NA,NA,NA,-0.004210002,-0.001253519,0.997271968,0.995798848,0.998747267,0.013552934,non-melanoma skin cancer,ieu-b-4959,"ING5_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.026952647,0.941192963
"DHX35_T cell, CD4, TH17",DHX35,"T cell, CD4, TH17",Wald_ratio,1,-0.002929281,0.000730257,NA,NA,6.04E-05,NA,NA,NA,NA,NA,NA,NA,-0.004360584,-0.001497979,0.997075005,0.995648909,0.998503143,0.003699743,non-melanoma skin cancer,ieu-b-4959,"DHX35_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",0.00066135,1
"DHX35_T cell, CD4, memory TREG",DHX35,"T cell, CD4, memory TREG",Wald_ratio,1,-0.003009641,0.00075029,NA,NA,6.04E-05,NA,NA,NA,NA,NA,NA,NA,-0.004480209,-0.001539073,0.996994883,0.995529812,0.998462111,0.003699743,non-melanoma skin cancer,ieu-b-4959,"DHX35_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.120473126,1
"AL049840.1_T cell, CD4, naive",AL049840.1,"T cell, CD4, naive",Wald_ratio,1,-0.001974681,0.000601236,NA,NA,0.001022107,NA,NA,NA,NA,NA,NA,NA,-0.003153103,-0.000796259,0.998027268,0.996851863,0.999204058,0.035305287,non-melanoma skin cancer,ieu-b-4959,"AL049840.1_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",0.114039631,1
"THNSL2_T cell, CD4, naive TREG",THNSL2,"T cell, CD4, naive TREG",Wald_ratio,1,0.002687457,0.000778768,NA,NA,0.000558705,NA,NA,NA,NA,NA,NA,NA,0.001161072,0.004213843,1.002691072,1.001161746,1.004222734,0.022399788,non-melanoma skin cancer,ieu-b-4959,"THNSL2_T cell, CD4, naive TREG_non-melanoma skin cancer_ieu-b-4959",0.060862229,0.990536496
"ZNF587_T cell, CD4, memory TREG",ZNF587,"T cell, CD4, memory TREG",Wald_ratio,1,0.002604187,0.000736696,NA,NA,0.000407843,NA,NA,NA,NA,NA,NA,NA,0.001160264,0.004048111,1.002607581,1.001160937,1.004056316,0.017456835,non-melanoma skin cancer,ieu-b-4959,"ZNF587_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.000482556,0.984613645
"ZNF587_T cell, CD4, naive",ZNF587,"T cell, CD4, naive",Wald_ratio,1,0.002791126,0.000789579,NA,NA,0.000407843,NA,NA,NA,NA,NA,NA,NA,0.001243552,0.0043387,1.002795024,1.001244325,1.004348125,0.017456835,non-melanoma skin cancer,ieu-b-4959,"ZNF587_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",0.00027518,0.984613645
"ZNF587_T cell, CD8, naive",ZNF587,"T cell, CD8, naive",Wald_ratio,1,0.002840864,0.000803649,NA,NA,0.000407843,NA,NA,NA,NA,NA,NA,NA,0.001265712,0.004416016,1.002844903,1.001266513,1.004425781,0.017456835,non-melanoma skin cancer,ieu-b-4959,"ZNF587_T cell, CD8, naive_non-melanoma skin cancer_ieu-b-4959",0.00027673,0.984613645
"ZNF587_T cell, CD4, TH1 TH17",ZNF587,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.002774555,0.000784891,NA,NA,0.000407843,NA,NA,NA,NA,NA,NA,NA,0.001236169,0.004312941,1.002778407,1.001236933,1.004322255,0.017456835,non-melanoma skin cancer,ieu-b-4959,"ZNF587_T cell, CD4, TH1 TH17_non-melanoma skin cancer_ieu-b-4959",0.032366538,0.984613645
ZNF587_B_CELL_NAIVE,ZNF587,B,Wald_ratio,1,0.002692019,0.000761542,NA,NA,0.000407843,NA,NA,NA,NA,NA,NA,NA,0.001199396,0.004184642,1.002695646,1.001200115,1.00419341,0.017456835,non-melanoma skin cancer,ieu-b-4959,ZNF587_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,0.000323326,0.984613645
"RP11-1149M10.2_Monocyte, non-classical",RP11-1149M10.2,"Monocyte, non-classical",Wald_ratio,1,0.002041696,0.00059893,NA,NA,0.000652236,NA,NA,NA,NA,NA,NA,NA,0.000867794,0.003215598,1.002043781,1.00086817,1.003220773,0.024055146,non-melanoma skin cancer,ieu-b-4959,"RP11-1149M10.2_Monocyte, non-classical_non-melanoma skin cancer_ieu-b-4959",0.080714385,1
"CASP9_T cell, CD4, TFH",CASP9,"T cell, CD4, TFH",Wald_ratio,1,-0.002314901,0.000682223,NA,NA,0.000690879,NA,NA,NA,NA,NA,NA,NA,-0.003652058,-0.000977744,0.997687776,0.996354602,0.999022734,0.025418663,non-melanoma skin cancer,ieu-b-4959,"CASP9_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.088076147,1
"KRT1_T cell, CD4, memory TREG",KRT1,"T cell, CD4, memory TREG",Wald_ratio,1,0.002317471,0.000543082,NA,NA,1.98E-05,NA,NA,NA,NA,NA,NA,NA,0.001253029,0.003381913,1.002320158,1.001253815,1.003387638,0.001330526,non-melanoma skin cancer,ieu-b-4959,"KRT1_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.650843919,1
"KRT1_T cell, CD4, naive activated",KRT1,"T cell, CD4, naive activated",Wald_ratio,1,0.002818151,0.000660413,NA,NA,1.98E-05,NA,NA,NA,NA,NA,NA,NA,0.001523741,0.00411256,1.002822125,1.001524902,1.004121028,0.001330526,non-melanoma skin cancer,ieu-b-4959,"KRT1_T cell, CD4, naive activated_non-melanoma skin cancer_ieu-b-4959",0.712140621,1
"KRT1_T cell, CD4, naive",KRT1,"T cell, CD4, naive",Wald_ratio,1,0.002298935,0.000538739,NA,NA,1.98E-05,NA,NA,NA,NA,NA,NA,NA,0.001243007,0.003354863,1.00230158,1.00124378,1.003360497,0.001330526,non-melanoma skin cancer,ieu-b-4959,"KRT1_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",0.665112985,1
"CTSW_T cell, CD4, TFH",CTSW,"T cell, CD4, TFH",Wald_ratio,1,-0.002313587,0.00058266,NA,NA,7.17E-05,NA,NA,NA,NA,NA,NA,NA,-0.003455602,-0.001171573,0.997689087,0.996550362,0.998829113,0.004171516,non-melanoma skin cancer,ieu-b-4959,"CTSW_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.001704098,0.987272755
"CASP8_T cell, CD4, naive TREG",CASP8,"T cell, CD4, naive TREG",Wald_ratio,1,-0.004574233,0.000500791,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005555784,-0.003592681,0.995436213,0.994459621,0.996413765,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, naive TREG_non-melanoma skin cancer_ieu-b-4959",8.84E-17,0.991516071
"CASP8_T cell, CD4, TFH",CASP8,"T cell, CD4, TFH",Wald_ratio,1,-0.00431409,0.000472311,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005239819,-0.003388361,0.995695203,0.994773885,0.996617373,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",8.70E-17,0.991516071
CASP8_B_CELL_NAIVE,CASP8,B,Wald_ratio,1,-0.006178046,0.000676378,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.007503748,-0.004852344,0.993840999,0.992524335,0.995159409,7.16E-17,non-melanoma skin cancer,ieu-b-4959,CASP8_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,0.00014072,0.991516071
"CASP8_T cell, CD4, TH2",CASP8,"T cell, CD4, TH2",Wald_ratio,1,-0.004621376,0.000505953,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005613044,-0.003629709,0.995389286,0.99440268,0.99637687,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, TH2_non-melanoma skin cancer_ieu-b-4959",4.36E-14,0.991516071
"CASP8_T cell, CD4, memory TREG",CASP8,"T cell, CD4, memory TREG",Wald_ratio,1,-0.004293975,0.000470109,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005215388,-0.003372562,0.995715231,0.994798189,0.996633118,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",8.84E-17,0.991516071
"CASP8_T cell, CD4, TH1 TH17",CASP8,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.004499655,0.000492627,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005465203,-0.003534107,0.995510453,0.994549704,0.996472131,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, TH1 TH17_non-melanoma skin cancer_ieu-b-4959",5.42E-15,0.991516071
"CASP8_T cell, CD4, TH17",CASP8,"T cell, CD4, TH17",Wald_ratio,1,-0.004442196,0.000486336,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005395415,-0.003488978,0.995567656,0.994619114,0.996517102,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",4.29E-14,0.991516071
"CASP8_T cell, CD4, naive",CASP8,"T cell, CD4, naive",Wald_ratio,1,-0.004457502,0.000488012,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005414005,-0.003500999,0.995552418,0.994600625,0.996505122,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",1.10E-46,0.991516071
"CASP8_Monocyte, classical",CASP8,"Monocyte, classical",Wald_ratio,1,-0.004264954,0.000466931,NA,NA,6.60E-20,NA,NA,NA,NA,NA,NA,NA,-0.005180139,-0.003349768,0.995744128,0.994833255,0.996655836,7.16E-17,non-melanoma skin cancer,ieu-b-4959,"CASP8_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",4.36E-14,0.991516071
"CASP8_Monocyte, non-classical",CASP8,"Monocyte, non-classical",Wald_ratio,1,-0.005726023,0.000486622,NA,NA,5.78E-32,NA,NA,NA,NA,NA,NA,NA,-0.006679801,-0.004772244,0.99429034,0.993342459,0.995239125,2.20E-28,non-melanoma skin cancer,ieu-b-4959,"CASP8_Monocyte, non-classical_non-melanoma skin cancer_ieu-b-4959",3.06E-15,1
"CASP8_NK cell, CD56dim CD16+",CASP8,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.006080553,0.000516751,NA,NA,5.78E-32,NA,NA,NA,NA,NA,NA,NA,-0.007093385,-0.00506772,0.993937896,0.992931713,0.994945099,2.20E-28,non-melanoma skin cancer,ieu-b-4959,"CASP8_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",8.84E-17,1
"CTD-2583A14.11_T cell, CD4, TH1",CTD-2583A14.11,"T cell, CD4, TH1",Wald_ratio,1,0.00238919,0.000665248,NA,NA,0.000328871,NA,NA,NA,NA,NA,NA,NA,0.001085304,0.003693076,1.002392046,1.001085893,1.003699903,0.015097283,non-melanoma skin cancer,ieu-b-4959,"CTD-2583A14.11_T cell, CD4, TH1_non-melanoma skin cancer_ieu-b-4959",0.123141317,0.973894633
"ZNF587_Monocyte, classical",ZNF587,"Monocyte, classical",Wald_ratio,1,0.002791671,0.000777315,NA,NA,0.000328871,NA,NA,NA,NA,NA,NA,NA,0.001268134,0.004315209,1.002795572,1.001268938,1.004324533,0.015097283,non-melanoma skin cancer,ieu-b-4959,"ZNF587_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",0.000876942,0.973894633
"RBBP5_T cell, CD4, TFH",RBBP5,"T cell, CD4, TFH",Wald_ratio,1,0.002970331,0.00076464,NA,NA,0.000102494,NA,NA,NA,NA,NA,NA,NA,0.001471636,0.004469026,1.002974747,1.001472719,1.004479027,0.005768113,non-melanoma skin cancer,ieu-b-4959,"RBBP5_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.000323718,0.975010105
"RP4-680D5.2_T cell, CD4, naive activated",RP4-680D5.2,"T cell, CD4, naive activated",Wald_ratio,1,-0.002444018,0.000577101,NA,NA,2.29E-05,NA,NA,NA,NA,NA,NA,NA,-0.003575136,-0.0013129,0.997558966,0.996431247,0.998687962,0.001523244,non-melanoma skin cancer,ieu-b-4959,"RP4-680D5.2_T cell, CD4, naive activated_non-melanoma skin cancer_ieu-b-4959",0.432293008,0.965029205
"SESN3_T cell, CD4, naive TREG",SESN3,"T cell, CD4, naive TREG",Wald_ratio,1,0.001717343,0.000470163,NA,NA,0.000259544,NA,NA,NA,NA,NA,NA,NA,0.000795823,0.002638863,1.001718819,1.00079614,1.002642348,0.012324306,non-melanoma skin cancer,ieu-b-4959,"SESN3_T cell, CD4, naive TREG_non-melanoma skin cancer_ieu-b-4959",0.318249496,0.952650177
"RBM6_T cell, CD4, TFH",RBM6,"T cell, CD4, TFH",Wald_ratio,1,0.002028862,0.000586043,NA,NA,0.000536239,NA,NA,NA,NA,NA,NA,NA,0.000880218,0.003177505,1.002030921,1.000880605,1.003182559,0.021958785,non-melanoma skin cancer,ieu-b-4959,"RBM6_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.104993106,1
"RBM6_T cell, CD8, naive",RBM6,"T cell, CD8, naive",Wald_ratio,1,0.00186973,0.000540077,NA,NA,0.000536239,NA,NA,NA,NA,NA,NA,NA,0.000811179,0.002928281,1.001871479,1.000811508,1.002932572,0.021958785,non-melanoma skin cancer,ieu-b-4959,"RBM6_T cell, CD8, naive_non-melanoma skin cancer_ieu-b-4959",0.104544435,1
"AHI1_Monocyte, classical",AHI1,"Monocyte, classical",Wald_ratio,1,0.00167086,0.000506471,NA,NA,0.000970213,NA,NA,NA,NA,NA,NA,NA,0.000678177,0.002663543,1.001672257,1.000678407,1.002667094,0.033890543,non-melanoma skin cancer,ieu-b-4959,"AHI1_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",0.000309848,0.990878894
"AHI1_T cell, CD4, naive activated",AHI1,"T cell, CD4, naive activated",Wald_ratio,1,0.001670875,0.000515666,NA,NA,0.001194344,NA,NA,NA,NA,NA,NA,NA,0.00066017,0.00268158,1.001672271,1.000660388,1.002685179,0.038368001,non-melanoma skin cancer,ieu-b-4959,"AHI1_T cell, CD4, naive activated_non-melanoma skin cancer_ieu-b-4959",0.001693139,0.986529671
"MAP2K1_T cell, CD4, naive TREG",MAP2K1,"T cell, CD4, naive TREG",Wald_ratio,1,-0.002125293,0.000552122,NA,NA,0.000118445,NA,NA,NA,NA,NA,NA,NA,-0.003207451,-0.001043135,0.997876964,0.996797687,0.998957409,0.006568537,non-melanoma skin cancer,ieu-b-4959,"MAP2K1_T cell, CD4, naive TREG_non-melanoma skin cancer_ieu-b-4959",0.496021264,1
"ERBB3_T cell, CD4, TH1",ERBB3,"T cell, CD4, TH1",Wald_ratio,1,0.001865752,0.000545986,NA,NA,0.000632649,NA,NA,NA,NA,NA,NA,NA,0.00079562,0.002935885,1.001867494,1.000795936,1.002940199,0.024055146,non-melanoma skin cancer,ieu-b-4959,"ERBB3_T cell, CD4, TH1_non-melanoma skin cancer_ieu-b-4959",0.001192398,0.976082745
SNX32_B_CELL_NAIVE,SNX32,B,Wald_ratio,1,0.00229799,0.000510267,NA,NA,6.68E-06,NA,NA,NA,NA,NA,NA,NA,0.001297866,0.003298114,1.002300632,1.001298709,1.003303559,0.000567414,non-melanoma skin cancer,ieu-b-4959,SNX32_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,0.029773675,1
"PADI6_Monocyte, classical",PADI6,"Monocyte, classical",Wald_ratio,1,-0.00294971,0.000429354,NA,NA,6.42E-12,NA,NA,NA,NA,NA,NA,NA,-0.003791244,-0.002108175,0.997054636,0.996215933,0.997894045,1.60E-09,non-melanoma skin cancer,ieu-b-4959,"PADI6_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",7.35E-39,1
"PADI6_NK cell, CD56dim CD16+",PADI6,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.00319678,0.000465317,NA,NA,6.42E-12,NA,NA,NA,NA,NA,NA,NA,-0.004108802,-0.002284758,0.996808324,0.995899627,0.99771785,1.60E-09,non-melanoma skin cancer,ieu-b-4959,"PADI6_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",2.19E-39,1
"HORMAD1_Monocyte, non-classical",HORMAD1,"Monocyte, non-classical",Wald_ratio,1,-0.001827777,0.000530623,NA,NA,0.000571935,NA,NA,NA,NA,NA,NA,NA,-0.002867798,-0.000787756,0.998173893,0.997136311,0.999212555,0.022755385,non-melanoma skin cancer,ieu-b-4959,"HORMAD1_Monocyte, non-classical_non-melanoma skin cancer_ieu-b-4959",0.0370638,1
"CTSK_T cell, CD4, naive activated",CTSK,"T cell, CD4, naive activated",Wald_ratio,1,-0.003220154,0.000707451,NA,NA,5.32E-06,NA,NA,NA,NA,NA,NA,NA,-0.004606758,-0.001833551,0.996785025,0.995403837,0.998168129,0.000467231,non-melanoma skin cancer,ieu-b-4959,"CTSK_T cell, CD4, naive activated_non-melanoma skin cancer_ieu-b-4959",0.804041441,1
"CERS2_T cell, CD4, memory TREG",CERS2,"T cell, CD4, memory TREG",Wald_ratio,1,-0.002385215,0.000671395,NA,NA,0.000381408,NA,NA,NA,NA,NA,NA,NA,-0.003701149,-0.00106928,0.997617627,0.996305692,0.998931291,0.017134797,non-melanoma skin cancer,ieu-b-4959,"CERS2_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.800916546,1
"CERS2_T cell, CD4, TH17",CERS2,"T cell, CD4, TH17",Wald_ratio,1,-0.002705342,0.000767034,NA,NA,0.000420271,NA,NA,NA,NA,NA,NA,NA,-0.004208729,-0.001201955,0.997298314,0.995800115,0.998798767,0.017938245,non-melanoma skin cancer,ieu-b-4959,"CERS2_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",0.786878018,1
"SNX32_Monocyte, classical",SNX32,"Monocyte, classical",Wald_ratio,1,0.002419708,0.000515037,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001410236,0.003429181,1.002422638,1.00141123,1.003435068,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",0.5586301,0.819707512
"SNX32_T cell, CD4, TFH",SNX32,"T cell, CD4, TFH",Wald_ratio,1,0.002465722,0.000524831,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001437053,0.003494392,1.002468765,1.001438086,1.003500504,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",0.001704098,0.819707512
"SNX32_T cell, CD8, naive activated",SNX32,"T cell, CD8, naive activated",Wald_ratio,1,0.001972618,0.000419874,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001149666,0.002795571,1.001974565,1.001150327,1.002799482,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_T cell, CD8, naive activated_non-melanoma skin cancer_ieu-b-4959",0.007709727,0.819707512
"SNX32_T cell, CD4, memory TREG",SNX32,"T cell, CD4, memory TREG",Wald_ratio,1,0.002461897,0.000524017,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001434824,0.00348897,1.00246493,1.001435853,1.003495064,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.001473276,0.819707512
"SNX32_T cell, CD4, TH17",SNX32,"T cell, CD4, TH17",Wald_ratio,1,0.00250339,0.000532849,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001459006,0.003547774,1.002506526,1.001460071,1.003554075,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",0.003014091,0.819707512
"SNX32_T cell, CD4, TH2",SNX32,"T cell, CD4, TH2",Wald_ratio,1,0.002794047,0.000594715,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001628404,0.003959689,1.002797954,1.001629731,1.003967539,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_T cell, CD4, TH2_non-melanoma skin cancer_ieu-b-4959",0.039509011,0.819707512
"SNX32_T cell, CD4, naive activated",SNX32,"T cell, CD4, naive activated",Wald_ratio,1,0.002061068,0.0004387,NA,NA,2.63E-06,NA,NA,NA,NA,NA,NA,NA,0.001201216,0.002920921,1.002063194,1.001201937,1.002925191,0.000261224,non-melanoma skin cancer,ieu-b-4959,"SNX32_T cell, CD4, naive activated_non-melanoma skin cancer_ieu-b-4959",0.007520875,0.819707512
